,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Present_Age_CST,Customer_Since_year,AcceptedCmp
483,Graduation,Married,43057.0,0,1,30,213.0,2.0,44,0,2,5,4,4,2,5,5,0,0,49,11,0
484,Master,Together,83151.0,0,0,93,407.0,28.0,100,120,74,18,1,5,9,4,3,0,0,64,12,0
485,PhD,Divorced,78825.0,0,0,35,483.0,74.0,114,169,37,18,1,5,10,13,3,0,1,60,12,0
486,Master,Together,65104.0,0,1,4,738.0,0.0,232,13,20,50,2,3,5,7,7,0,0,48,11,0
487,Graduation,Married,60093.0,0,1,92,502.0,12.0,109,16,6,90,2,7,2,10,6,0,0,50,11,0
488,Graduation,Married,14045.0,1,0,24,11.0,0.0,5,2,1,1,1,1,0,3,7,0,0,55,10,0
489,2n Cycle,Widow,28457.0,0,0,96,24.0,1.0,108,29,29,14,1,4,1,4,8,0,0,72,12,0
490,PhD,Together,78952.0,0,1,11,1170.0,19.0,594,99,76,134,2,2,5,12,6,0,0,66,12,0
491,Graduation,Divorced,46310.0,1,0,99,185.0,2.0,88,15,5,14,2,6,1,5,8,0,0,48,12,0
492,Graduation,Together,76005.0,0,0,72,983.0,20.0,389,240,50,40,1,3,5,13,6,0,0,69,11,1
493,Master,Single,58308.0,0,1,77,691.0,0.0,69,10,0,130,4,2,6,3,8,0,0,60,11,0
494,PhD,Divorced,55614.0,0,0,85,504.0,13.0,131,8,0,26,1,9,4,6,7,0,0,80,11,1
495,Master,Divorced,59432.0,0,1,88,317.0,25.0,265,25,19,12,3,5,3,11,5,0,0,62,11,0
496,Graduation,Divorced,55563.0,0,1,22,29.0,1.0,9,2,0,2,1,2,0,3,3,0,0,46,10,0
497,PhD,Together,78642.0,0,1,83,1225.0,0.0,322,46,35,17,1,4,9,4,6,0,0,53,11,0
498,PhD,Together,67911.0,0,1,63,529.0,0.0,356,63,28,0,3,6,7,11,3,0,0,75,10,0
499,Graduation,Married,65275.0,0,0,9,388.0,14.0,218,91,14,21,1,4,3,13,2,0,0,80,11,0
500,Graduation,Together,27203.0,1,1,92,13.0,2.0,21,4,0,24,2,1,1,2,8,0,0,74,12,0
501,Master,Together,48330.0,0,1,2,28.0,0.0,4,0,0,0,1,1,0,3,5,0,0,63,11,0
502,Basic,Married,24279.0,0,0,6,16.0,36.0,21,20,62,108,1,4,1,3,8,0,0,34,12,0
503,PhD,Married,64355.0,1,0,66,1047.0,0.0,140,67,38,153,2,4,3,12,8,0,0,39,12,0
504,Master,Together,50943.0,0,1,49,31.0,0.0,7,2,0,6,1,1,0,3,5,0,0,68,11,0
505,Graduation,Widow,53653.0,0,0,29,815.0,10.0,239,28,10,108,2,10,4,12,6,0,0,71,12,0
506,Graduation,Married,65665.0,0,1,77,225.0,81.0,387,106,36,29,1,5,10,8,3,0,0,48,11,0
507,Graduation,Single,81217.0,0,0,77,493.0,70.0,324,146,40,84,1,3,7,11,1,0,0,35,11,0
508,Graduation,Married,34935.0,0,0,71,34.0,4.0,66,3,10,20,1,2,1,4,7,0,0,32,11,0
509,Graduation,Divorced,61250.0,0,1,49,382.0,81.0,65,60,26,59,6,5,2,12,5,0,0,65,12,0
510,PhD,Together,39665.0,1,0,97,127.0,1.0,56,0,1,31,3,4,2,3,7,0,0,43,11,1
511,Graduation,Single,60152.0,0,1,6,325.0,81.0,300,86,58,91,1,6,4,12,3,0,0,45,11,0
512,Graduation,Married,48920.0,0,2,93,238.0,17.0,68,8,10,6,3,6,2,5,7,0,0,60,11,1
513,Master,Together,89120.0,0,0,78,1168.0,81.0,408,72,129,55,1,5,6,7,1,0,0,65,10,1
514,PhD,Together,44124.0,0,1,62,284.0,0.0,55,0,6,52,4,6,2,5,8,0,0,78,11,0
515,Master,Single,81169.0,0,0,47,1225.0,20.0,613,80,61,27,1,5,7,9,2,0,0,49,11,0
516,Graduation,Married,36443.0,1,1,9,65.0,0.0,46,4,3,20,4,3,1,3,8,0,0,63,11,0
517,Graduation,Single,26095.0,1,0,77,11.0,7.0,9,3,1,11,1,1,0,3,7,0,0,34,11,0
518,Graduation,Together,71367.0,0,0,24,227.0,23.0,389,42,21,75,1,4,5,7,2,0,0,65,11,0
519,Master,Married,80184.0,0,0,19,1035.0,81.0,670,25,38,0,1,6,3,10,3,0,0,80,10,2
520,Graduation,Divorced,30630.0,1,1,67,27.0,1.0,12,2,0,10,2,2,0,3,7,0,0,59,10,0
521,Master,Single,73454.0,0,0,95,982.0,73.0,351,56,14,175,1,2,4,6,5,0,0,37,10,1
522,Graduation,Married,42691.0,0,0,48,179.0,2.0,64,38,17,58,1,5,1,6,5,0,0,33,11,0
523,Graduation,Married,70503.0,0,0,73,1225.0,33.0,216,0,33,66,1,2,4,9,6,0,0,71,12,2
524,Graduation,Married,25545.0,1,0,35,32.0,1.0,64,16,12,85,3,2,2,3,6,0,1,37,12,0
525,Graduation,Married,32880.0,1,0,76,8.0,4.0,15,7,6,2,1,1,0,3,8,0,0,38,12,0
526,PhD,Together,77863.0,0,0,20,881.0,38.0,319,16,25,12,1,4,5,10,2,0,0,66,11,0
527,Master,Married,50353.0,0,0,72,141.0,15.0,153,67,31,35,1,4,4,6,3,0,0,47,10,0
528,Graduation,Single,61839.0,0,0,20,1000.0,81.0,379,224,17,120,1,4,8,4,8,0,0,60,12,0
529,PhD,Married,49154.0,1,1,69,206.0,10.0,67,30,27,71,6,4,1,8,6,0,0,64,11,0
530,2n Cycle,Widow,47682.0,0,1,80,162.0,61.0,83,97,57,61,4,4,3,8,5,0,0,49,11,0
531,Graduation,Single,72679.0,0,1,65,619.0,54.0,260,127,54,54,1,4,7,5,1,0,0,55,11,0
532,Master,Together,57954.0,1,1,52,456.0,4.0,24,0,0,9,7,8,2,6,7,0,0,47,10,1
533,Graduation,Married,65316.0,1,1,65,112.0,6.0,92,3,9,38,2,3,2,5,4,0,0,62,11,0
534,Graduation,Single,28567.0,1,0,57,11.0,3.0,22,2,2,6,2,2,0,3,6,0,0,42,11,0
535,Master,Together,47352.0,0,1,70,172.0,12.0,112,8,0,15,4,6,1,5,7,0,0,73,11,0
536,Graduation,Together,44931.0,0,1,0,78.0,0.0,11,0,0,7,1,2,1,3,5,0,0,57,10,0
537,Graduation,Divorced,76982.0,0,0,19,464.0,81.0,292,65,60,30,1,8,3,4,4,0,1,57,10,1
538,2n Cycle,Together,57247.0,0,1,50,99.0,4.0,32,37,54,6,2,2,1,7,2,0,0,72,11,0
539,Master,Single,22944.0,1,0,67,19.0,3.0,19,4,5,26,3,3,0,3,7,0,0,43,11,0
540,2n Cycle,Together,25315.0,1,0,46,1.0,9.0,8,11,3,22,3,3,0,3,8,0,0,47,11,0
541,Graduation,Widow,43638.0,0,1,37,63.0,10.0,83,7,19,19,2,4,1,4,7,0,0,55,12,0
542,PhD,Single,42710.0,1,0,38,252.0,3.0,42,4,3,102,2,4,5,3,6,0,0,40,12,0
543,PhD,Married,84169.0,0,0,9,1225.0,19.0,403,0,19,0,1,7,6,6,3,0,1,42,11,2
544,Graduation,Together,54058.0,0,1,56,198.0,18.0,252,32,108,54,2,4,6,8,3,0,0,48,11,0
545,2n Cycle,Married,24683.0,1,0,98,8.0,4.0,10,6,7,6,2,2,0,4,5,0,0,34,10,0
546,Graduation,Widow,85620.0,0,0,68,416.0,46.0,925,60,107,46,1,3,6,4,1,0,1,60,10,0
547,Graduation,Married,47850.0,1,0,72,42.0,7.0,43,20,12,10,1,3,0,4,6,0,0,44,11,0
548,Graduation,Married,19514.0,1,1,47,14.0,3.0,21,2,1,28,4,3,1,2,8,0,1,56,10,1
549,Master,Married,27159.0,1,1,33,17.0,0.0,3,0,0,1,2,1,0,3,6,0,0,51,10,0
550,2n Cycle,Single,39548.0,1,1,87,15.0,4.0,10,3,4,18,2,1,1,3,3,0,0,61,10,0
551,Graduation,Single,21474.0,1,0,0,6.0,16.0,24,11,0,34,2,3,1,2,7,0,1,35,10,1
552,PhD,Single,60504.0,0,1,73,458.0,0.0,24,6,4,34,2,6,2,8,6,0,0,53,10,0
553,Graduation,Married,22419.0,0,0,74,30.0,3.0,47,19,21,42,1,3,2,2,8,0,0,61,11,0
554,Master,Married,81698.0,0,0,4,179.0,28.0,520,111,123,47,1,3,8,13,1,0,1,75,11,0
555,Graduation,Together,43462.0,1,1,50,90.0,17.0,97,15,6,15,6,4,1,5,8,0,0,72,12,0
556,PhD,Single,54880.0,1,0,57,308.0,81.0,137,102,45,118,2,6,2,11,5,0,0,46,11,0
557,Graduation,Married,79908.0,0,0,30,557.0,81.0,761,29,185,111,1,5,6,7,2,0,0,42,11,1
558,2n Cycle,Married,15315.0,0,0,27,7.0,4.0,13,15,8,17,2,2,0,4,5,0,0,54,11,0
559,Graduation,Together,87771.0,0,1,61,1225.0,38.0,287,50,57,33,1,5,10,4,6,0,1,65,11,4
560,Graduation,Married,33039.0,1,0,4,30.0,8.0,12,8,8,12,1,2,0,4,5,0,0,46,11,0
561,Graduation,Single,81741.0,0,0,75,249.0,81.0,940,58,134,38,0,6,6,7,2,0,0,44,11,0
562,Master,Together,71499.0,0,1,12,465.0,25.0,132,136,0,37,2,8,3,13,4,0,0,53,11,0
563,2n Cycle,Married,62466.0,0,1,13,129.0,81.0,259,168,121,83,5,6,3,12,4,0,0,54,10,0
564,PhD,Divorced,48799.0,0,1,9,174.0,18.0,81,28,6,24,3,3,2,7,3,0,0,61,11,0
565,PhD,Together,52157.0,0,1,48,189.0,2.0,29,3,2,40,2,3,2,5,4,0,0,74,10,0
566,Graduation,Single,66565.0,0,1,80,747.0,10.0,161,65,40,42,4,4,2,9,8,0,0,62,12,0
567,Master,Together,29298.0,1,1,60,6.0,0.0,2,2,0,1,1,1,0,2,5,0,0,73,11,0
568,Graduation,Single,47691.0,0,1,43,14.0,0.0,3,0,0,4,1,1,0,2,6,0,0,45,11,0
569,Graduation,Together,38200.0,1,1,19,12.0,0.0,4,0,0,1,1,1,0,2,7,0,0,54,12,0
570,Graduation,Married,44989.0,0,1,26,98.0,0.0,106,49,10,106,5,5,1,5,6,0,0,50,12,0
571,PhD,Married,38443.0,1,1,58,32.0,0.0,5,0,0,1,2,1,0,3,7,0,0,56,10,0
572,2n Cycle,Single,38593.0,1,0,42,51.0,12.0,49,17,24,24,3,4,1,3,8,0,0,46,11,0
573,PhD,Together,64413.0,0,1,27,200.0,5.0,44,0,10,20,1,5,1,5,5,0,0,54,11,0
574,Master,Married,36959.0,1,0,56,25.0,6.0,25,6,0,0,2,2,0,3,8,0,0,43,11,0
575,PhD,Married,61996.0,0,1,27,1050.0,12.0,144,0,0,24,3,6,4,8,5,0,1,47,11,3
576,Graduation,Married,51287.0,1,1,10,117.0,0.0,22,13,0,30,3,4,1,3,7,0,0,56,10,0
577,Graduation,Married,13260.0,1,1,48,9.0,4.0,17,10,2,7,4,3,0,3,8,0,0,54,11,0
578,PhD,Together,47472.0,1,1,39,56.0,0.0,11,0,0,8,2,2,0,4,5,0,0,58,11,0
579,Master,Together,54603.0,1,1,85,145.0,13.0,46,17,2,4,6,4,2,4,7,0,0,68,11,0
580,PhD,Married,45207.0,1,1,64,203.0,0.0,10,0,0,2,5,3,1,6,6,0,0,50,12,1
581,Graduation,Together,40689.0,0,1,69,270.0,3.0,27,39,6,99,7,7,1,5,8,0,0,73,11,0
582,2n Cycle,Together,47821.0,1,1,54,9.0,0.0,16,6,6,10,1,1,0,3,8,0,0,57,11,0
583,Master,Married,27450.0,0,0,57,37.0,12.0,23,8,11,52,1,2,1,3,7,0,0,73,11,0
584,Graduation,Together,39453.0,1,0,64,46.0,0.0,7,0,0,2,2,2,0,3,6,0,0,41,10,0
585,2n Cycle,Together,26850.0,1,1,10,31.0,1.0,13,7,2,9,4,2,1,4,4,0,0,53,10,0
586,Graduation,Widow,79800.0,0,0,65,1060.0,21.0,530,32,0,224,1,5,11,5,3,0,1,69,12,3
587,Master,Married,61794.0,0,1,74,264.0,47.0,188,54,47,11,2,4,4,10,2,0,0,63,11,0
588,Graduation,Together,53863.0,0,1,4,399.0,4.0,30,6,4,30,3,7,1,7,7,0,0,69,10,1
589,Graduation,Together,24221.0,0,0,94,8.0,9.0,9,2,5,22,1,1,1,3,4,0,0,65,11,0
590,PhD,Single,39684.0,1,0,41,19.0,0.0,35,6,4,17,2,2,1,2,7,1,1,40,12,0
591,Master,Married,92163.0,0,0,25,817.0,81.0,797,106,163,20,0,5,11,5,2,0,1,49,12,2
592,Master,Single,69882.0,0,0,94,292.0,81.0,635,132,127,165,1,3,7,9,1,0,0,59,11,0
593,Graduation,Together,33178.0,1,0,9,12.0,6.0,2,11,2,16,1,1,0,3,4,0,0,47,10,0
594,PhD,Married,59973.0,0,0,47,130.0,30.0,168,20,34,0,1,3,4,7,1,0,0,52,11,0
595,Master,Together,17459.0,1,0,12,6.0,4.0,16,3,10,30,3,3,1,2,7,0,1,49,11,0
596,Graduation,Divorced,23910.0,1,0,80,16.0,12.0,18,7,1,13,1,2,0,3,7,0,0,55,12,0
597,Master,Married,42169.0,1,1,20,19.0,0.0,9,0,0,2,2,1,0,3,8,0,0,55,11,0
598,2n Cycle,Married,26224.0,1,0,39,4.0,7.0,15,13,9,15,3,2,1,3,6,0,0,46,11,0
599,Graduation,Together,31089.0,1,0,57,31.0,3.0,31,2,8,4,3,3,0,4,8,0,0,43,12,0
600,Graduation,Single,30081.0,0,1,27,36.0,0.0,2,0,0,4,1,1,0,3,7,0,0,63,11,0
601,Graduation,Together,62807.0,0,1,83,526.0,28.0,135,10,21,99,3,5,3,12,5,0,0,64,12,0
602,Graduation,Single,72906.0,0,0,79,400.0,32.0,519,71,75,54,1,3,4,9,1,0,0,69,11,0
603,PhD,Married,61467.0,0,2,69,410.0,16.0,114,0,5,49,3,5,2,10,5,0,0,76,12,0
604,Master,Together,49618.0,1,1,77,80.0,3.0,26,4,2,14,4,3,1,3,7,0,0,58,11,0
605,Master,Single,21888.0,1,0,15,88.0,10.0,46,2,3,64,4,5,1,2,10,0,1,38,12,0
606,Graduation,Widow,42429.0,0,1,99,55.0,0.0,6,2,0,4,2,1,1,3,5,0,0,51,10,0
607,Graduation,Divorced,26150.0,2,1,61,5.0,1.0,13,3,5,1,1,1,0,3,7,0,0,68,11,0
608,Basic,Married,30801.0,0,1,23,8.0,4.0,5,15,2,11,2,1,0,3,7,0,0,49,12,0
609,Graduation,Married,81168.0,0,0,84,410.0,0.0,592,147,22,22,1,6,4,7,3,0,0,59,10,1
610,Master,Single,26877.0,0,0,74,101.0,13.0,76,20,18,40,2,3,1,6,6,0,0,55,11,0
611,Master,Widow,45006.0,0,0,90,162.0,25.0,53,16,0,10,1,3,1,7,3,0,0,80,11,0
612,Basic,Married,18978.0,1,0,41,2.0,8.0,1,4,7,15,1,1,0,3,8,0,0,51,12,0
613,Graduation,Married,22574.0,2,1,28,25.0,0.0,8,2,0,2,2,2,0,3,7,0,0,57,11,0
614,PhD,Single,48240.0,0,0,73,389.0,81.0,248,64,49,41,3,6,3,13,5,0,1,55,12,0
615,Graduation,Married,45837.0,1,1,88,215.0,13.0,87,17,17,24,5,6,2,5,7,0,0,50,11,0
616,Master,Single,35791.0,2,1,94,27.0,0.0,5,0,0,3,2,1,0,3,8,0,0,59,11,0
617,PhD,Together,162397.0,1,1,31,85.0,1.0,16,2,1,2,0,0,0,1,1,0,0,48,11,0
618,Graduation,Widow,54162.0,1,1,31,5.0,6.0,10,6,5,10,1,1,0,3,4,0,0,46,11,0
619,Master,Married,30522.0,0,1,6,179.0,8.0,83,19,11,26,5,1,2,9,2,0,0,64,12,0
620,PhD,Married,54456.0,0,1,23,352.0,0.0,27,10,0,15,3,6,1,7,6,0,0,63,11,0
621,Graduation,Single,31632.0,0,0,92,17.0,8.0,12,11,15,32,1,2,1,2,7,0,0,53,11,0
622,Graduation,Widow,72298.0,0,0,52,625.0,35.0,169,58,17,35,1,4,3,6,1,0,0,75,10,2
623,2n Cycle,Single,36975.0,1,0,50,10.0,6.0,11,0,4,2,1,1,0,3,7,0,0,46,11,0
624,2n Cycle,Married,72635.0,0,0,54,390.0,22.0,323,104,35,107,1,6,8,6,3,0,0,69,11,1
625,Graduation,Married,13624.0,1,0,93,10.0,2.0,15,2,1,6,2,2,0,3,6,0,0,48,11,0
626,Graduation,Single,84196.0,0,1,56,215.0,63.0,507,231,31,190,1,8,4,7,3,0,0,49,11,0
627,Graduation,Together,70971.0,0,1,28,1001.0,17.0,572,93,125,17,7,11,11,5,7,0,1,64,12,0
628,PhD,Divorced,34487.0,1,1,94,19.0,18.0,33,24,1,8,3,3,0,3,9,0,0,47,12,0
629,Graduation,Single,28769.0,1,0,76,41.0,5.0,129,10,3,3,3,4,1,4,9,0,0,47,12,0
630,PhD,Married,69084.0,1,0,43,1181.0,81.0,199,39,30,30,2,7,3,13,8,0,0,54,11,0
631,PhD,Together,65488.0,0,0,46,603.0,45.0,207,36,18,54,1,3,4,6,1,0,0,66,10,0
632,2n Cycle,Married,62466.0,0,1,13,129.0,81.0,259,168,121,83,5,6,3,12,4,0,0,54,10,0
633,2n Cycle,Single,32218.0,0,0,27,10.0,24.0,15,13,1,30,1,2,1,3,7,0,1,64,10,1
634,Graduation,Single,83917.0,0,0,12,514.0,22.0,732,42,198,79,1,6,7,7,3,0,1,51,11,0
635,Graduation,Divorced,46102.0,2,1,3,14.0,0.0,1,0,0,1,1,1,0,2,7,0,0,62,10,0
636,Graduation,Single,84574.0,0,0,72,387.0,20.0,713,38,54,163,1,9,11,11,5,0,0,72,11,0
637,Graduation,Married,56181.0,0,1,6,121.0,81.0,69,8,44,48,1,4,2,7,4,0,0,62,11,0
638,Master,Divorced,63120.0,0,1,53,965.0,69.0,279,54,41,69,5,8,4,9,7,0,1,74,12,0
639,Graduation,Married,73691.0,0,1,58,707.0,21.0,250,85,43,73,2,6,2,8,2,0,0,53,11,1
640,Graduation,Together,63381.0,0,1,78,571.0,50.0,142,33,50,159,4,4,5,13,2,0,0,64,12,0
641,PhD,Together,76140.0,0,0,57,586.0,66.0,653,17,0,26,1,5,9,6,2,0,0,76,10,0
642,PhD,Divorced,62859.0,0,1,37,1063.0,81.0,102,16,12,25,4,9,4,6,6,0,0,65,12,0
643,Graduation,Single,45906.0,0,1,20,305.0,3.0,27,4,3,144,2,5,4,4,5,0,0,60,11,1
644,Master,Together,77632.0,0,0,73,1200.0,81.0,758,0,42,147,1,4,2,6,2,0,1,77,11,2
645,PhD,Married,46463.0,1,1,56,163.0,2.0,40,8,11,11,7,3,1,6,6,0,0,53,11,0
646,Graduation,Together,105471.0,0,0,36,1009.0,81.0,104,202,21,207,0,9,8,13,3,0,1,54,11,2
647,Master,Divorced,55282.0,1,0,9,125.0,6.0,73,8,4,19,1,3,1,6,4,0,0,54,11,0
648,Master,Married,78710.0,0,1,42,721.0,0.0,152,119,50,50,3,7,6,12,4,0,0,47,10,0
649,Graduation,Together,66886.0,0,1,28,315.0,4.0,62,41,31,146,2,7,1,7,5,0,0,66,11,0
650,Master,Single,98777.0,0,0,23,1000.0,19.0,711,125,115,38,0,4,6,9,1,0,0,64,10,1
651,Graduation,Together,29103.0,1,0,38,16.0,0.0,17,6,3,6,2,1,0,3,9,0,0,39,12,0
652,Graduation,Married,67445.0,0,1,63,757.0,80.0,217,29,80,11,5,9,6,12,6,0,0,50,12,0
653,PhD,Together,50616.0,0,1,71,30.0,2.0,25,0,1,9,1,1,1,4,2,0,0,74,10,0
654,Graduation,Divorced,49431.0,0,1,9,219.0,3.0,100,26,0,17,2,7,1,5,8,0,0,69,12,0
655,Graduation,Divorced,153924.0,0,0,81,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,49,10,0
656,Graduation,Together,61278.0,0,1,87,111.0,3.0,28,2,6,15,2,3,1,4,6,0,0,71,10,0
657,2n Cycle,Together,26490.0,0,0,92,45.0,47.0,52,21,20,25,2,3,1,5,6,0,0,66,12,0
658,PhD,Together,73059.0,0,1,36,410.0,81.0,420,0,82,71,1,9,3,13,4,0,0,77,11,0
659,PhD,Single,46734.0,1,2,86,100.0,1.0,39,6,1,76,4,3,2,3,6,0,0,58,11,1
660,Graduation,Together,56253.0,0,1,83,509.0,0.0,65,7,11,5,4,7,2,9,6,0,0,61,12,0
661,Graduation,Married,19986.0,1,0,74,3.0,6.0,5,0,2,6,1,0,0,3,7,0,0,39,11,0
662,Graduation,Widow,58330.0,0,1,87,445.0,53.0,213,104,98,151,1,6,4,13,4,0,0,49,11,0
663,Basic,Married,25965.0,0,0,29,2.0,2.0,11,41,7,11,1,2,0,3,8,0,0,44,12,0
664,Master,Together,14661.0,0,0,88,4.0,1.0,11,6,2,2,1,1,0,3,6,0,0,68,11,0
665,Graduation,Married,18690.0,0,0,77,6.0,1.0,7,23,4,19,1,1,1,2,8,0,0,65,12,0
666,PhD,Together,45068.0,0,1,25,14.0,0.0,3,0,0,3,1,1,0,2,7,0,0,50,11,0
667,Basic,Single,21063.0,1,0,34,1.0,10.0,11,19,3,15,2,2,0,3,6,0,0,37,11,0
668,PhD,Married,29187.0,1,0,43,26.0,0.0,6,0,0,2,1,1,0,3,8,0,0,56,11,0
669,2n Cycle,Married,54690.0,1,1,76,111.0,16.0,37,7,9,18,3,3,1,5,3,0,0,53,11,0
670,PhD,Married,59304.0,0,1,81,418.0,61.0,428,80,51,10,3,7,8,10,5,0,0,60,11,0
671,Master,Single,59247.0,0,2,87,327.0,9.0,122,19,14,83,5,5,2,9,6,0,0,62,11,0
672,Graduation,Widow,66731.0,0,1,33,371.0,81.0,194,58,106,141,4,4,3,6,3,0,0,54,12,0
673,Graduation,Married,77353.0,0,1,38,275.0,59.0,107,69,101,59,2,6,4,8,4,0,0,44,11,0
674,PhD,Single,52614.0,0,1,63,789.0,0.0,142,12,9,38,2,2,4,8,8,0,0,49,12,0
675,Graduation,Married,26751.0,2,0,26,1.0,1.0,5,0,3,1,1,1,0,2,8,0,0,50,10,0
676,PhD,Married,81300.0,0,1,17,1004.0,12.0,145,32,12,36,3,10,3,5,5,0,1,61,12,1
677,Graduation,Single,70337.0,0,0,75,187.0,81.0,149,25,43,91,1,2,2,12,1,0,0,45,10,0
678,2n Cycle,Married,36145.0,1,0,13,56.0,4.0,76,17,1,18,4,4,1,3,9,0,1,39,11,1
679,PhD,Single,65295.0,0,0,19,365.0,32.0,117,34,110,6,1,3,3,13,2,0,0,44,11,0
680,Graduation,Divorced,68118.0,0,1,51,595.0,23.0,123,10,23,154,2,8,9,4,6,0,0,61,11,0
681,Graduation,Divorced,68743.0,0,0,81,1132.0,81.0,384,175,134,115,1,11,5,13,7,0,0,57,12,0
682,2n Cycle,Together,41039.0,0,0,32,34.0,11.0,137,179,61,45,1,8,1,5,8,0,0,42,11,0
683,Graduation,Together,38946.0,0,1,84,116.0,6.0,82,6,6,41,2,3,1,6,5,0,0,69,11,0
684,Graduation,Together,65777.0,0,0,87,565.0,32.0,435,28,32,54,1,2,8,6,1,0,0,57,11,0
685,PhD,Divorced,66476.0,0,1,99,372.0,18.0,126,47,48,78,2,5,2,11,4,0,0,48,11,0
686,PhD,Single,86857.0,0,0,96,899.0,81.0,838,133,102,40,1,5,6,10,2,0,1,52,12,0
687,PhD,Married,160803.0,0,0,21,55.0,16.0,1622,17,3,4,15,0,28,1,0,0,0,42,12,0
688,PhD,Together,77845.0,0,0,40,760.0,40.0,480,0,40,26,1,3,5,12,1,0,0,35,10,2
689,PhD,Together,69476.0,0,0,3,260.0,81.0,559,63,9,67,1,4,6,4,2,0,0,55,11,0
690,PhD,Divorced,50611.0,0,1,98,459.0,0.0,24,6,0,4,6,4,5,7,6,0,1,64,12,1
691,Graduation,Single,61209.0,0,0,73,466.0,0.0,224,119,49,99,1,5,3,4,2,0,0,54,11,0
692,Master,Together,42315.0,0,1,90,67.0,15.0,80,17,11,80,3,1,4,4,3,0,0,66,11,0
693,Basic,Together,13084.0,0,0,29,2.0,0.0,7,3,7,10,1,1,0,3,6,0,0,72,11,0
694,Master,Widow,47570.0,1,1,3,67.0,1.0,20,0,2,31,3,2,2,2,7,0,1,75,11,0
695,Master,Married,61923.0,0,2,94,92.0,4.0,18,3,3,6,1,2,1,4,3,0,0,63,11,0
696,Graduation,Single,34824.0,0,0,65,4.0,2.0,11,2,0,4,1,1,0,2,6,0,0,29,10,0
697,PhD,Single,26518.0,1,1,33,20.0,1.0,28,3,3,2,3,2,0,3,8,0,1,75,11,0
698,Graduation,Single,45938.0,0,0,46,273.0,11.0,178,62,83,29,2,8,4,6,6,0,0,63,11,0
699,Graduation,Together,78468.0,0,0,29,434.0,22.0,388,104,22,34,1,10,7,10,4,0,0,64,10,1
700,Graduation,Divorced,78901.0,0,1,99,321.0,11.0,309,33,26,34,3,9,3,5,4,0,0,51,11,0
701,Graduation,Married,71427.0,2,0,26,212.0,81.0,177,15,64,23,2,8,2,8,4,0,0,46,10,0
702,Graduation,Divorced,71022.0,0,1,30,909.0,12.0,278,0,12,242,3,5,2,11,8,0,0,46,10,1
703,Master,Single,90247.0,0,0,27,1184.0,32.0,352,21,16,16,1,3,4,7,1,0,1,36,10,3
704,Master,Divorced,41335.0,1,0,24,112.0,19.0,21,16,14,5,3,4,1,4,7,0,0,56,11,0
705,Graduation,Married,71952.0,1,0,93,656.0,80.0,455,52,107,93,2,8,4,8,4,0,0,38,11,2
706,PhD,Divorced,35682.0,1,0,34,23.0,0.0,8,6,2,18,1,1,1,3,2,0,0,54,10,0
707,Graduation,Divorced,43185.0,0,1,88,537.0,6.0,42,16,6,30,2,9,3,6,8,0,0,73,11,0
708,PhD,Together,66375.0,0,1,96,712.0,0.0,45,0,0,191,3,2,4,5,7,0,0,76,11,1
709,Master,Married,35178.0,1,0,10,23.0,1.0,13,2,2,18,1,1,1,2,7,0,1,53,11,1
710,Graduation,Married,25252.0,1,0,26,1.0,3.0,4,2,2,6,1,1,0,2,8,0,0,38,11,0
711,Master,Single,55250.0,0,1,49,664.0,58.0,83,32,0,66,4,7,5,10,5,0,0,59,12,0
712,Graduation,Single,33249.0,1,0,11,6.0,10.0,21,19,14,42,2,2,1,3,6,0,0,49,11,0
713,Graduation,Together,58398.0,0,0,44,299.0,5.0,201,21,21,49,3,5,4,8,4,0,0,71,11,0
714,Graduation,Together,50272.0,1,0,75,99.0,13.0,66,43,8,4,3,4,1,5,7,0,0,42,11,0
715,PhD,Married,76618.0,0,0,64,749.0,40.0,294,121,160,147,1,3,2,5,1,0,0,49,12,0
716,2n Cycle,Divorced,87305.0,0,0,19,345.0,25.0,501,63,138,80,1,5,3,8,2,0,1,64,12,1
717,Graduation,Together,25851.0,1,0,45,9.0,4.0,18,7,5,5,2,2,0,3,7,0,0,46,11,0
718,Graduation,Divorced,58710.0,0,1,77,440.0,81.0,368,0,122,174,6,11,5,9,6,0,0,54,11,0
719,Graduation,Single,45160.0,1,1,9,8.0,2.0,5,3,0,3,1,1,0,2,7,0,0,66,10,0
720,Master,Married,74806.0,0,1,1,670.0,9.0,249,0,28,9,2,5,4,5,4,0,0,59,12,0
721,Graduation,Married,59111.0,0,0,90,524.0,0.0,134,28,28,155,1,11,1,8,7,0,0,70,11,0
722,PhD,Married,18988.0,1,0,43,6.0,0.0,6,2,1,1,2,1,0,3,7,0,0,40,10,0
723,Graduation,Married,72190.0,0,0,79,597.0,81.0,597,172,166,249,1,5,6,4,3,0,0,59,11,0
724,Graduation,Married,7500.0,1,0,19,7.0,0.0,12,13,7,32,5,4,1,2,9,0,1,48,12,1
725,Graduation,Married,44794.0,0,1,99,54.0,0.0,7,0,0,4,1,2,0,3,6,0,0,58,10,0
